product code,quantity,estimated delivery date,lodgement date,contract number,salesman number
O9F4205,860,2012-01-29,2012-01-23,CSE0001453,11110313
A08264O,270,2011-12-31,2011-12-29,CSE0001453,12010521
P56U187,330,2012-01-20,2012-01-23,CSE0001453,11811615
H8713D4,970,2012-02-10,2012-02-06,CSE0001453,11511000
D7Y5182,170,2011-12-29,2012-02-15,CSE0001453,11610606
V968Q15,580,2012-01-21,2012-01-07,CSE0001453,11211428
SY73215,710,2012-02-09,2012-01-16,CSE0001453,12211220
C78629B,420,2012-02-08,2012-02-10,CSE0001453,11112809
R5F0782,710,2012-02-03,2012-01-05,CSE0001453,11310224
M40V792,420,2012-02-14,2012-02-02,CSE0001453,11110611
SR61908,910,2012-01-28,2012-01-25,CSE0001453,12110925
R5F0782,260,2012-02-11,2012-01-02,CSE0001453,12011018
SB01298,760,2012-02-14,2012-01-08,CSE0001453,12211603
SB01298,360,2012-02-06,2011-12-29,CSE0001453,11710803
T0E9518,700,2012-01-10,2012-01-30,CSE0001453,11312409
MC32085,830,2012-01-11,2011-12-27,CSE0001453,11512308
G071O86,110,2012-02-05,2012-01-23,CSE0001453,11211428
G053V91,430,2012-01-27,2011-12-28,CSE0001453,12010010
R243J08,400,2012-02-12,2012-02-08,CSE0001453,11310224
CO19853,770,2012-01-05,2012-01-08,CSE0001453,11112809
D8150P6,110,2012-01-03,2012-01-07,CSE0001453,12110722
T9508D4,770,2012-02-17,2011-12-21,CSE0001453,11612609
SE17564,340,2012-01-07,2012-02-02,CSE0001453,11612301
WC49732,480,2012-01-08,2012-01-09,CSE0001453,12211220
WC49732,850,2012-02-16,2012-02-14,CSE0001453,12211623
L15649H,600,2012-01-05,2012-02-10,CSE0001453,11112514
F40365I,40,2011-12-27,2011-12-31,CSE0001453,12211522
CZ28413,780,2012-01-29,2011-12-30,CSE0001453,11110611
L29837Y,250,2012-02-17,2012-02-16,CSE0001453,11511513
T1749L0,940,2012-01-22,2012-02-09,CSE0001453,12012028
P4052D1,960,2012-02-12,2012-01-13,CSE0001453,12011018
A37260X,580,2012-01-19,2012-01-20,CSE0001453,11311615
T9T8140,610,2012-01-04,2012-01-24,CSE0001453,11612913
O032T69,900,2012-01-30,2012-01-01,CSE0001453,11812701
B830R57,20,2012-01-05,2011-12-27,CSE0001453,11512902
TU23769,850,2015-11-16,2015-12-03,CSE0001454,11912320
D50A198,940,2015-11-19,2015-10-17,CSE0001454,11911804
L504L71,550,2015-11-07,2015-11-01,CSE0001454,11511317
F9135R4,610,2015-12-08,2015-10-23,CSE0001454,11711514
A08264O,410,2015-10-25,2015-11-07,CSE0001454,11511312
A58192Z,920,2015-10-16,2015-11-29,CSE0001454,11710304
L17546O,10,2015-12-03,2015-12-03,CSE0001454,11510115
F1L0847,210,2015-10-17,2015-11-11,CSE0001454,11710805
M9J6453,280,2015-11-27,2015-12-08,CSE0001454,11512928
L92148E,950,2015-10-16,2015-11-29,CSE0001454,12011723
S86042Z,460,2015-11-17,2015-10-27,CSE0001454,11311817
T0E9518,750,2015-11-03,2015-11-15,CSE0001454,12011424
P6398B4,870,2011-08-08,2011-08-09,CSE0001455,11612024
O9F4205,740,2011-07-21,2011-08-11,CSE0001455,11410203
R796N84,20,2011-07-19,2011-07-11,CSE0001455,11911729
DB83217,940,2014-03-18,2014-04-19,CSE0001456,11311405
IQ87164,490,2014-04-07,2014-04-18,CSE0001456,11312922
H64578X,270,2014-03-21,2014-04-13,CSE0001456,11811417
R5F0782,230,2014-03-16,2014-05-11,CSE0001456,11110405
SY73215,330,2014-04-01,2014-05-09,CSE0001456,11712325
S36N209,130,2014-03-26,2014-04-14,CSE0001456,12210703
M713N46,530,2014-04-20,2014-04-15,CSE0001456,11211620
MR92570,900,2014-04-23,2014-04-17,CSE0001456,11310927
YS95071,230,2014-04-01,2014-04-18,CSE0001456,12112122
T9508D4,700,2014-05-09,2014-04-02,CSE0001456,12010120
C21057Z,490,2014-04-06,2014-03-15,CSE0001456,11712325
G9372K0,70,2014-05-04,2014-05-08,CSE0001456,11212524
IQ87164,220,2019-01-21,2019-01-23,CSE0001457,11510024
T739U65,360,2019-02-08,2019-01-02,CSE0001457,11212120
S2180L4,1000,2019-01-10,2019-01-05,CSE0001457,11711603
V0W6342,960,2019-01-05,2019-01-13,CSE0001457,11710106
TI26891,60,2019-01-25,2019-01-18,CSE0001457,12111227
P02C741,80,2019-01-23,2019-02-14,CSE0001457,11510024
U198C32,850,2019-01-08,2019-01-22,CSE0001457,11810625
FG91426,540,2019-02-23,2019-02-08,CSE0001457,12210020
P09Y825,580,2019-02-01,2019-02-03,CSE0001457,11110916
S6I1543,410,2019-01-04,2019-02-09,CSE0001457,12011219
B189A57,590,2015-05-17,2015-07-06,CSE0001458,11310829
PY35974,960,2015-06-26,2015-05-30,CSE0001458,11911323
A50L172,510,2015-06-30,2015-06-03,CSE0001458,11412311
M97X845,400,2015-05-22,2015-06-20,CSE0001458,11812407
EZ12538,740,2015-07-06,2015-06-18,CSE0001458,11410820
L17546O,430,2015-05-23,2015-05-29,CSE0001458,11710914
F6L2495,560,2015-06-03,2015-07-02,CSE0001458,11810722
D93P178,720,2015-06-13,2015-07-11,CSE0001458,11611227
P6398B4,510,2015-05-21,2015-06-27,CSE0001458,11211501
DD18704,730,2015-07-01,2015-06-03,CSE0001458,12110614
S7K6834,600,2015-05-19,2015-06-27,CSE0001458,11112029
R5F0782,470,2015-05-21,2015-07-06,CSE0001458,11611508
M40V792,870,2015-07-07,2015-07-07,CSE0001458,11510816
L92148E,490,2015-06-14,2015-06-30,CSE0001458,12210703
S0912X5,180,2015-06-29,2015-07-11,CSE0001458,11312426
T0E9518,260,2015-06-06,2015-05-24,CSE0001458,11112520
P02C741,470,2015-06-20,2015-05-27,CSE0001458,11910015
F76983D,900,2015-06-27,2015-06-13,CSE0001458,11311712
E895N12,540,2015-06-09,2015-05-21,CSE0001458,11812407
A58192Z,200,2015-06-05,2015-07-08,CSE0001458,11111115
C3752Y9,420,2015-06-19,2015-07-12,CSE0001458,11412715
A58192Z,670,2015-06-18,2015-06-06,CSE0001458,11112520
A58192Z,360,2015-07-01,2015-05-22,CSE0001458,11512118
RC12709,880,2015-06-09,2015-05-20,CSE0001458,11812728
W05C734,100,2015-06-23,2015-07-01,CSE0001458,11411901
C2056I7,230,2015-05-23,2015-07-05,CSE0001458,11512928
C04R672,300,2015-07-02,2015-06-06,CSE0001458,11212711
H362I81,380,2015-05-17,2015-06-14,CSE0001458,12011517
I291Q38,470,2015-07-01,2015-07-04,CSE0001458,11511213
S92348F,20,2015-05-26,2015-06-09,CSE0001458,11612800
L29837Y,900,2015-07-11,2015-06-26,CSE0001458,11312426
MR92570,540,2015-06-07,2015-06-19,CSE0001458,11210906
L0528N6,230,2015-07-06,2015-05-28,CSE0001458,11411929
T35X601,110,2015-06-22,2015-06-23,CSE0001458,11611819
M4Y8765,220,2015-06-01,2015-06-04,CSE0001458,12210428
S86042Z,220,2015-07-10,2015-06-02,CSE0001458,11212200
EE05684,160,2014-12-14,2014-10-23,CSE0001459,11812728
C91D367,470,2014-12-01,2014-11-12,CSE0001459,11810104
M5809H7,520,2014-12-02,2014-11-08,CSE0001459,11111115
TS64823,580,2014-10-30,2014-12-02,CSE0001459,11310914
R7248S9,490,2014-11-09,2014-11-01,CSE0001459,11112416
C681E75,280,2014-11-24,2014-11-20,CSE0001459,11312426
D56294N,130,2001-07-02,2001-07-22,CSE0001460,11410003
SY73215,650,2001-08-01,2001-07-31,CSE0001460,11810208
H64578X,210,2001-07-15,2001-07-29,CSE0001460,11912713
T38951Z,590,2001-06-24,2001-07-22,CSE0001460,11410306
G8573U9,490,2001-08-06,2001-08-07,CSE0001460,11511720
AE80564,940,2001-07-30,2001-08-01,CSE0001460,12011508
T0829X7,750,2001-08-11,2001-06-19,CSE0001460,12112609
G80142H,30,2001-08-01,2001-07-09,CSE0001460,12111601
H5684K7,820,2001-07-02,2001-07-15,CSE0001460,12111825
A35J746,550,2001-08-15,2001-08-08,CSE0001460,12111627
T28310Y,110,2001-08-01,2001-07-25,CSE0001460,12011416
M79W815,450,2013-08-03,2013-07-24,CSE0001461,11410404
F40365I,1000,2021-02-04,2021-01-17,CSE0001462,11610600
WJ50817,130,2021-01-19,2021-01-05,CSE0001462,11210906
TU23769,440,2021-02-08,2021-01-07,CSE0001462,11210906
T1239W5,320,2021-01-21,2021-01-12,CSE0001462,11810104
M489T70,450,2021-01-20,2020-12-28,CSE0001462,11211620
W49310P,550,2021-01-04,2021-01-28,CSE0001462,11310927
L47869Q,600,2000-11-25,2000-11-16,CSE0001463,12112006
SW03642,480,2000-11-24,2000-11-28,CSE0001463,11211721
CS90168,420,2000-10-30,2000-11-12,CSE0001463,11110725
W49310P,1000,2000-11-02,2000-11-30,CSE0001463,12110129
ER04531,770,2010-02-06,2010-01-14,CSE0001464,11710110
C9520Y6,290,2010-01-17,2010-01-23,CSE0001464,11512522
T28310Y,380,2010-01-15,2010-02-11,CSE0001464,11212228
A35J746,410,2010-01-07,2010-01-22,CSE0001464,11212012
I36Z941,410,2010-01-19,2010-02-16,CSE0001464,11110711
L8N0649,50,2001-06-20,2001-07-28,CSE0001465,12110325
A08264O,110,2001-08-08,2001-08-04,CSE0001465,11911807
S5291W4,650,2001-07-03,2001-07-29,CSE0001465,11110405
MG73026,630,2001-07-14,2001-06-24,CSE0001465,11211414
R04W892,110,2001-08-15,2001-08-03,CSE0001465,11112908
F6L2495,230,2010-05-04,2010-04-08,CSE0001466,11211017
C78629B,670,2003-08-21,2003-10-02,CSE0001467,11112106
B830R57,160,2013-07-06,2013-08-15,CSE0001468,12010120
WJ50817,500,2013-08-11,2013-08-06,CSE0001468,11812728
C6C1349,550,2013-08-20,2013-08-15,CSE0001468,11211414
S2501J4,260,2013-07-10,2013-07-17,CSE0001468,11911204
C2F0671,140,2013-07-14,2013-07-30,CSE0001468,11212711
K7458M2,650,2013-07-27,2013-07-06,CSE0001468,12110421
L0528N6,940,2013-07-15,2013-07-26,CSE0001468,11412900
S8465W1,570,2013-08-18,2013-07-07,CSE0001468,12212215
A273M51,870,2013-08-03,2013-07-02,CSE0001468,11211501
F6L2495,800,2013-07-03,2013-08-12,CSE0001468,11511213
A35J746,650,2013-07-27,2013-07-03,CSE0001468,11910015
C7826A5,360,2009-05-14,2009-05-02,CSE0001469,11710914
UL87156,110,2009-05-14,2009-06-03,CSE0001469,11510115
C46258Y,730,2009-06-07,2009-04-19,CSE0001469,11110319
LO12047,510,2009-04-25,2009-04-18,CSE0001469,11210906
C2F0671,620,2009-04-22,2009-04-30,CSE0001469,11511317
D51962U,200,2009-05-27,2009-05-20,CSE0001469,11112015
TU23769,40,2009-05-16,2009-06-08,CSE0001469,11712125
D7903R1,130,2009-05-19,2009-04-16,CSE0001469,11812007
M0467E1,930,2009-05-04,2009-04-22,CSE0001469,11511213
C634K72,970,2009-05-18,2009-05-24,CSE0001469,11510427
T0E9518,710,2009-05-22,2009-04-18,CSE0001469,11111510
T035M47,10,2009-04-23,2009-04-20,CSE0001469,11111115
D8150P6,420,2009-06-03,2009-04-24,CSE0001469,11511317
G053V91,240,2009-05-18,2009-05-14,CSE0001469,11110319
D8150P6,960,2009-05-13,2009-05-15,CSE0001469,12110203
D1G4290,260,2009-06-02,2009-05-02,CSE0001469,12110614
V5W8496,270,2009-06-02,2009-05-20,CSE0001469,12110515
D1G4290,560,2009-05-30,2009-04-18,CSE0001469,11411901
TS64823,120,2009-04-22,2009-05-11,CSE0001469,11210906
C2056I7,290,2009-04-14,2009-05-28,CSE0001469,11611508
WC49732,220,2009-05-25,2009-05-27,CSE0001469,11212711
L15649H,730,2009-05-07,2009-06-04,CSE0001469,12111219
C37A594,530,2009-05-31,2009-04-23,CSE0001469,11911700
C186H47,310,2009-05-05,2009-04-15,CSE0001469,11211217
S5291W4,200,2009-05-17,2009-05-12,CSE0001469,11710128
R04W892,200,2009-06-01,2009-05-21,CSE0001469,11710304
S1490W6,220,2009-04-30,2009-05-13,CSE0001469,12011723
BP82450,830,2009-06-08,2009-06-07,CSE0001469,11812007
R81O564,30,2009-06-24,2009-06-17,CSE0001470,11210712
W318D96,820,2015-12-25,2016-01-11,CSE0001471,11412715
M6328D7,70,2016-01-02,2015-12-13,CSE0001471,11811417
I41V392,280,2016-01-10,2016-01-07,CSE0001471,11910015
S2180L4,490,2015-12-25,2016-01-23,CSE0001471,11211210
C3752Y9,440,2015-12-19,2015-12-25,CSE0001471,11111510
A59027Z,910,2015-12-28,2015-11-27,CSE0001471,11511213
F9135R4,640,2015-12-05,2016-01-24,CSE0001471,11112520
A08264O,590,2015-12-18,2016-01-12,CSE0001471,11812728
D68950Z,770,2015-11-26,2016-01-04,CSE0001471,11411019
OP18549,560,2016-01-03,2015-12-18,CSE0001471,11110319
HD86793,300,2016-01-14,2015-12-05,CSE0001471,11412623
D230D47,700,2015-12-17,2015-12-13,CSE0001471,11410905
PI37560,460,2000-02-10,2000-03-08,CSE0001472,11812022
F9N8470,900,2000-03-14,2000-02-06,CSE0001472,11310313
DB83217,90,2000-03-08,2000-02-29,CSE0001472,11510416
T5382D6,740,2000-02-09,2000-02-22,CSE0001472,11211305
WJ50817,970,2000-03-31,2000-02-15,CSE0001472,11311624
S2501J4,310,2000-03-26,2000-03-13,CSE0001472,11311229
ML18593,490,2000-03-05,2000-02-08,CSE0001472,11611511
G21467A,260,2000-03-21,2000-03-11,CSE0001472,12111307
GC81302,650,2000-02-26,2000-03-31,CSE0001472,11611210
N89L425,950,2000-02-17,2000-02-04,CSE0001472,11910717
M4329T8,760,2000-02-28,2000-03-17,CSE0001472,11211429
D51962U,220,2000-03-02,2000-03-23,CSE0001472,12112727
T0X9417,760,2000-03-20,2000-03-07,CSE0001472,12110020
K7458M2,50,2000-03-19,2000-02-28,CSE0001472,11311906
M9P8604,100,2000-02-12,2000-02-04,CSE0001472,11110916
W49310P,960,2000-02-11,2000-03-03,CSE0001472,12011219
H18Z450,690,2000-02-08,2000-02-13,CSE0001472,11210622
R81O564,780,2006-04-20,2006-04-08,CSE0001473,11211527
E6N2308,670,2001-07-18,2001-06-14,CSE0001474,11510115
BE04182,700,2001-08-03,2001-06-21,CSE0001474,11412900
H9842K1,840,2001-07-05,2001-07-10,CSE0001474,11112015
R796N84,400,2001-07-21,2001-07-08,CSE0001474,12010120
C6C1543,820,2001-07-09,2001-06-18,CSE0001474,11512118
SE17564,540,2001-07-26,2001-07-17,CSE0001474,11111510
RC12709,620,2001-07-28,2001-08-03,CSE0001474,11612800
S8104Z6,600,2001-07-15,2001-07-25,CSE0001474,11812521
P7604Q5,800,2001-07-13,2001-07-25,CSE0001474,12211226
H7Y6824,150,2001-06-25,2001-07-22,CSE0001474,11112520
H362I81,920,2001-07-23,2001-07-06,CSE0001474,12112001
S92348F,30,2001-06-12,2001-07-03,CSE0001474,11710914
S2180L4,20,2001-07-02,2001-07-10,CSE0001474,11210425
CC50327,320,2001-07-14,2001-06-29,CSE0001474,11710818
P9L0284,190,2001-07-04,2001-06-16,CSE0001474,11311817
SL87069,710,2001-08-01,2001-07-30,CSE0001474,11912320
P9L0284,310,2001-08-03,2001-06-12,CSE0001474,11710818
S86042Z,230,2001-06-08,2001-06-10,CSE0001474,11910015
YS95071,630,2006-09-28,2006-09-05,CSE0001475,11710029
W920W86,90,2006-08-08,2006-09-07,CSE0001475,11312304
C2698S3,130,2022-01-31,2022-02-15,CSE0001476,11410306
C7826A5,470,2022-01-26,2022-01-22,CSE0001476,12210019
A35J746,690,2022-03-02,2022-02-16,CSE0001476,11311011
M328K91,120,2022-02-27,2022-02-19,CSE0001476,11611816
I94V518,910,2022-03-09,2022-03-07,CSE0001476,11112607
T9508D4,360,2022-02-22,2022-03-03,CSE0001476,11410003
A58192Z,530,2022-02-01,2022-01-23,CSE0001476,12111027
D8150P6,670,2022-03-08,2022-02-09,CSE0001476,11510010
OP18549,880,2022-01-21,2022-01-26,CSE0001476,11312223
M40V792,730,2022-03-09,,CSE0001476,12011728
L29837Y,670,2022-01-28,2022-01-22,CSE0001476,11812018
G427L06,20,2022-02-06,2022-02-20,CSE0001476,11112523
R81O564,750,2022-03-01,2022-01-26,CSE0001476,11410306
T67P542,660,2019-02-03,2019-02-28,CSE0001477,11412715
F8E7125,400,2019-02-04,2019-03-05,CSE0001477,11512118
I94V518,180,2019-03-17,2019-02-01,CSE0001477,11310305
P02C741,140,2019-02-13,2019-02-05,CSE0001477,11610318
U198C32,800,2019-02-28,2019-01-30,CSE0001477,11710200
C46258Y,300,2019-01-20,2019-02-06,CSE0001477,11312003
W1473B8,210,2019-01-29,2019-03-16,CSE0001477,11710805
E7R6098,240,2019-02-05,2019-02-27,CSE0001477,11911804
HD86793,210,2019-01-25,2019-01-17,CSE0001477,12112122
C21057Z,230,2019-02-09,2019-01-22,CSE0001477,11911604
CZ28413,510,2019-02-10,2019-01-28,CSE0001477,11310009
L47869Q,100,2019-02-25,2019-02-13,CSE0001477,12110203
P3650F7,700,2019-02-23,2019-01-30,CSE0001477,11111510
C634K72,80,2019-02-22,2019-03-12,CSE0001477,11211210
S956G17,670,2019-02-13,2019-02-16,CSE0001477,11711514
C9W7563,410,2000-09-18,2000-10-13,CSE0001478,11411616
SE17564,590,2000-09-24,2000-10-02,CSE0001478,11311011
B830R57,550,2000-02-26,2000-04-13,CSE0001479,11811417
E895N12,680,2000-04-14,2000-04-03,CSE0001479,11710200
T67P542,380,2000-03-13,2000-04-09,CSE0001479,11311405
TT21465,500,2000-03-09,2000-02-29,CSE0001479,12011708
I8206B5,840,2000-04-15,2000-03-14,CSE0001479,11711514
F9135R4,850,2000-03-28,2000-04-11,CSE0001479,12112122
JS30927,790,2000-04-08,2000-02-29,CSE0001479,11412311
T7E2913,480,2000-03-29,2000-03-26,CSE0001479,11511312
C48967S,970,2000-03-29,2000-03-09,CSE0001479,12210428
D56294N,520,2015-12-12,2015-11-29,CSE0001480,12212215
E4280M5,450,2015-12-23,2015-12-12,CSE0001480,11710128
MM72065,980,2015-11-07,2015-11-14,CSE0001480,11310305
TI26891,680,2015-11-15,2015-12-16,CSE0001480,11410404
TT21465,310,2015-11-17,2015-11-27,CSE0001480,11311817
H239M48,30,2015-11-02,2015-11-17,CSE0001480,11112029
D51962U,570,2015-12-26,2015-12-05,CSE0001480,11712125
TU23769,500,2015-11-26,2015-11-02,CSE0001480,11912320
S7K6834,380,2015-11-23,2015-11-19,CSE0001480,11310305
SW03642,190,2015-12-12,2015-12-27,CSE0001480,11210906
C45R631,620,2015-11-24,2015-12-10,CSE0001480,11311712
M9J6453,180,2015-12-17,2015-12-30,CSE0001480,11112416
D7903R1,240,2015-12-04,2015-12-24,CSE0001480,11110319
SB01298,790,2015-11-07,2015-11-23,CSE0001480,12011424
SB01298,350,2015-12-10,2015-11-06,CSE0001480,12110203
S36N209,350,2015-12-03,2015-12-31,CSE0001480,11910015
C2056I7,970,2015-12-15,2015-11-13,CSE0001480,11311712
S92348F,840,2015-12-23,2015-12-27,CSE0001480,11710128
F40365I,350,2015-11-14,2015-12-27,CSE0001480,11911804
A59027Z,550,2015-12-27,2015-11-22,CSE0001480,12210428
T0829X7,880,2015-12-29,2015-11-03,CSE0001480,12110203
AE80564,730,2015-12-27,2015-11-05,CSE0001480,11311405
K7458M2,160,2015-11-18,2015-11-23,CSE0001480,11211210
S5291W4,390,2015-12-06,2015-11-16,CSE0001480,12011517
P09Y825,160,2015-12-15,2015-12-15,CSE0001480,11812521
B830R57,710,2015-12-28,2015-12-11,CSE0001480,12110325
P09Y825,150,2015-12-13,2015-11-05,CSE0001480,11111510
P6O1843,630,2017-02-11,2017-02-18,CSE0001481,11611617
G071O86,330,2017-02-10,2017-02-11,CSE0001481,11710110
C3752Y9,700,2017-02-07,2017-02-07,CSE0001481,11910806
W1473B8,210,2017-02-06,2017-02-16,CSE0001481,11210713
V5W8496,840,2017-03-08,2017-02-10,CSE0001481,11712313
R243J08,870,2017-03-07,2017-03-11,CSE0001481,11411612
S2501J4,740,2017-03-18,2017-01-27,CSE0001481,11510326
M97X845,960,2017-02-06,2017-03-12,CSE0001481,11310212
M97X845,970,2017-03-16,2017-01-28,CSE0001481,11210712
UL87156,700,2017-02-01,2017-01-24,CSE0001481,11610606
F6L2495,760,2017-01-25,2017-02-25,CSE0001481,11912610
W920W86,810,2017-02-01,2017-02-22,CSE0001481,12211522
CY08734,110,2017-01-27,2017-02-10,CSE0001481,11610902
GC81302,300,2017-02-07,2017-03-05,CSE0001481,11810107
S7K6834,810,2017-02-17,2017-03-02,CSE0001481,12211502
SR61908,910,2017-02-24,2017-02-01,CSE0001481,12110528
S2180L4,450,2017-02-06,2017-02-27,CSE0001481,11310103
C186H47,150,2017-03-09,2017-02-25,CSE0001481,11110313
LR91308,670,2017-02-27,2017-03-21,CSE0001481,11812708
MR92570,570,2017-02-26,2017-03-04,CSE0001481,11610606
R6K1395,350,2017-02-06,2017-03-16,CSE0001481,11512713
L891S65,920,2017-02-02,2017-02-25,CSE0001481,11210713
A35J746,780,2003-01-11,2003-01-24,CSE0001482,11712500
C3752Y9,470,2003-01-15,2003-02-06,CSE0001482,12012116
L0528N6,350,2003-01-23,2002-12-23,CSE0001482,11512212
R243J08,70,2002-12-21,2003-01-08,CSE0001482,11411014
SL87069,350,2002-12-22,2003-01-05,CSE0001482,11912728
L0528N6,820,2003-01-01,2003-01-15,CSE0001482,12212927
W49310P,480,2002-12-24,2003-01-07,CSE0001482,12111627
I436H05,690,2003-02-06,2002-12-15,CSE0001482,12011416
H18Z450,930,2003-01-31,2003-02-08,CSE0001482,11112116
T035M47,840,2003-02-09,2003-02-04,CSE0001482,11510023
E895N12,630,2006-01-30,2006-01-28,CSE0001483,11511312
L29837Y,470,2005-12-14,2005-12-26,CSE0001483,12011920
S2180L4,690,2005-12-17,2005-12-18,CSE0001483,11611819
I072X68,950,2006-02-07,2005-12-27,CSE0001483,11211620
P56U187,170,2005-12-23,2006-01-04,CSE0001483,12211614
P3650F7,40,2005-12-16,2006-01-03,CSE0001483,11111605
R54810N,520,2006-02-01,2005-12-27,CSE0001483,11312922
EU82057,80,2005-12-21,2006-01-27,CSE0001483,12011920
M9J6453,770,2005-12-25,2006-01-16,CSE0001483,11112015
H7Y6824,140,2005-12-28,2005-12-22,CSE0001483,11110321
IZ80719,500,2005-12-22,2006-02-08,CSE0001483,11111605
P4052D1,510,2020-03-11,2020-03-15,CSE0001484,12112300
T9508D4,20,2020-03-01,2020-02-04,CSE0001484,11910621
H239M48,310,2020-02-01,2020-03-03,CSE0001484,11311100
GC81302,40,2020-02-10,2020-01-19,CSE0001484,12111112
NY39107,960,2020-01-21,2020-02-26,CSE0001484,12112727
S6I1543,370,2013-12-29,2013-12-29,CSE0001485,11111429
R58049A,230,2014-01-30,2013-12-22,CSE0001485,11112523
A4A8763,790,2013-12-30,2014-02-08,CSE0001485,12211817
MM72065,550,2014-01-26,2013-12-18,CSE0001485,11211517
M79W815,50,2014-01-14,2013-12-21,CSE0001485,11211813
TS64823,520,2014-02-12,2013-12-30,CSE0001485,12211417
C2056I7,30,2014-01-22,2013-12-19,CSE0001485,11511019
C2056I7,960,2013-12-16,2014-01-19,CSE0001485,11112611
P7604Q5,690,2014-01-27,2014-01-20,CSE0001485,12112609
SY73215,810,2014-01-23,2013-12-18,CSE0001485,11312106
T739U65,770,2014-01-03,2014-02-02,CSE0001485,11710825
EE05684,760,2014-01-16,2014-02-07,CSE0001485,11112919
MR92570,160,2014-01-13,2014-02-06,CSE0001485,12111627
P3650F7,410,2013-12-26,2014-01-25,CSE0001485,11110111
SL87069,270,2014-02-01,2014-01-19,CSE0001485,12011206
N13J804,940,2013-12-23,2014-02-09,CSE0001485,12110824
F24170J,750,2014-01-31,2014-01-21,CSE0001485,12011818
T35X601,210,2013-12-26,2013-12-16,CSE0001485,12012116
T0E9518,740,2014-01-06,2014-01-15,CSE0001485,11410306
S0912X5,140,2014-01-25,2013-12-29,CSE0001485,12111401
G9372K0,620,2017-12-29,2017-12-27,CSE0001486,11710128
CC50327,660,2001-06-06,2001-05-19,CSE0001487,12110325
A794O23,30,2001-05-29,2001-05-20,CSE0001487,12011723
C9520Y6,650,2001-05-10,2001-05-23,CSE0001487,11311405
UL87156,990,2001-05-18,2001-05-29,CSE0001487,11710304
M0467E1,880,2001-05-20,2001-05-31,CSE0001487,11712325
C2B7139,850,2001-05-12,2001-04-30,CSE0001487,11112003
P09Y825,250,2001-05-05,2001-05-24,CSE0001487,11311405
D230D47,150,2001-06-10,2001-05-08,CSE0001487,11110405
N74Y235,910,2007-08-22,2007-08-14,CSE0001488,11512408
F8E7125,650,2007-09-02,2007-10-07,CSE0001488,11612502
EE05684,880,2007-08-17,2007-08-27,CSE0001488,11811911
FK39705,360,2007-10-06,2007-09-01,CSE0001488,11610329
S0912X5,180,2007-09-12,2007-09-12,CSE0001488,11212008
B56K283,760,2007-05-17,2007-06-22,CSE0001489,12211913
C6C1349,240,2007-06-16,2007-05-10,CSE0001489,11710522
D8560Q1,1000,2007-06-18,2007-05-02,CSE0001489,11712200
TT21465,370,2007-05-26,2007-04-29,CSE0001489,11112911
I79Y023,590,2007-05-05,2007-06-11,CSE0001489,12211913
JS30927,40,2007-05-02,2007-04-29,CSE0001489,12111906
T35X601,430,2007-04-29,2007-05-14,CSE0001489,11510803
M4Y8765,640,2007-06-02,2007-05-18,CSE0001489,11411820
B8E1796,260,2007-06-06,2007-06-03,CSE0001489,12212618
F24170J,840,2007-06-13,2007-05-19,CSE0001489,11611627
S92348F,90,2007-06-17,2007-06-16,CSE0001489,11910621
E9G8372,290,2017-02-03,2017-01-24,CSE0001490,11610717
TU23769,750,2017-01-24,2017-02-19,CSE0001490,11611702
S2501J4,270,2017-03-02,2017-01-25,CSE0001490,11512202
C3752Y9,910,2017-01-20,2017-02-09,CSE0001490,12210508
T95761U,740,2017-01-22,2017-03-02,CSE0001490,11110611
V5W8496,930,2017-03-04,2017-02-17,CSE0001490,12211603
S93N807,700,2017-01-12,2017-02-02,CSE0001490,11212012
I36Z941,610,2017-01-19,2017-02-10,CSE0001490,11310212
C48967S,40,2017-03-07,2017-01-30,CSE0001490,11310703
C634K72,30,2017-02-24,2017-02-09,CSE0001490,11611112
PI37560,960,2020-10-13,2020-09-11,CSE0001491,12110515
WJ50817,150,2020-09-23,2020-09-12,CSE0001491,11911807
E6N2308,430,2020-10-20,2020-10-20,CSE0001491,11110319
BE04182,530,2020-09-21,2020-09-03,CSE0001491,11112416
S7843Q5,980,2020-10-22,2020-10-20,CSE0001491,11911700
D50A198,510,2020-09-24,2020-09-21,CSE0001491,11112822
E895N12,40,2020-10-05,2020-09-27,CSE0001491,11410703
TT21465,320,2020-10-29,2020-10-02,CSE0001491,11111115
C1F0953,200,2020-10-09,2020-09-06,CSE0001491,11711514
P8130N9,550,2020-10-05,2020-10-25,CSE0001491,12210529
P8130N9,570,2020-09-25,2020-09-19,CSE0001491,11311712
CZ28413,510,2020-10-03,2020-10-08,CSE0001491,12210428
WC49732,850,2020-09-01,2020-10-02,CSE0001491,12112505
C741G20,660,2020-09-22,2020-09-23,CSE0001491,11511213
I1M6430,490,2020-10-23,2020-09-13,CSE0001491,12111926
N62Z458,390,2020-10-10,2020-10-03,CSE0001491,11612521
M2589S0,120,2020-10-14,2020-09-12,CSE0001491,11411901
G80142H,120,2020-10-17,2020-09-04,CSE0001491,12110614
S86042Z,690,2020-09-08,2020-10-17,CSE0001491,12211226
A273M51,580,2020-10-04,2020-09-05,CSE0001491,12211226
T1R9247,270,2020-09-01,2020-09-11,CSE0001491,11310009
A35J746,70,2008-03-19,2008-03-31,CSE0001492,12011920
